row,column,original_data,sensitivity_level,protection_status,confidence,sensitive_types
8,rut,7654321-6,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
8,telefono,22123456,Sensibilidad media,Parcialmente protegido,0.95,Teléfono Chileno
8,ip,172.16.0.1,Sensibilidad media,Sin protección,0.92,Dirección IP
9,email,user@example.org,No sensible,Estado desconocido,0.1,
9,password_hash,aaf4c61ddcc5e8a2dabede0f3b482cd9aea9434d,Sensibilidad media,Protegido,1.0,
9,rut,8765432-K,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
9,telefono,+56212345678,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
9,ip,localhost,No sensible,Estado desconocido,0.1,
10,email,email,No sensible,Estado desconocido,0.1,
10,password_hash,password_hash,No sensible,Estado desconocido,0.1,
10,rut,rut,No sensible,Estado desconocido,0.1,
10,telefono,telefono,No sensible,Estado desconocido,0.1,
10,ip,ip,No sensible,Estado desconocido,0.1,
11,email,juan.perez@empresa.cl,Sensibilidad alta,Sin protección,0.95,Email
11,password_hash,5d41402abc4b2a76b9719d911017c592,Sensibilidad media,Protegido,0.8,
11,rut,12.345.678-5,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
11,telefono,+56912345678,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
11,ip,192.168.1.100,Sensibilidad media,Sin protección,0.92,Dirección IP
12,email,maria.gonzalez@company.com,Sensibilidad alta,Sin protección,0.95,Email
12,password_hash,$2b$12$N9qo8uLOickgx2ZMRZoMye,Sensibilidad media,Protegido,0.95,
12,rut,11.111.111-1,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
12,telefono,+56987654321,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
12,ip,10.0.0.1,Sensibilidad media,Sin protección,0.92,Dirección IP
13,email,admin@test.com,No sensible,Estado desconocido,0.1,
13,password_hash,plaintext_password,No sensible,Estado desconocido,0.1,
13,rut,7654321-6,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
13,telefono,22123456,Sensibilidad media,Parcialmente protegido,0.95,Teléfono Chileno
13,ip,172.16.0.1,Sensibilidad media,Sin protección,0.92,Dirección IP
14,email,user@example.org,No sensible,Estado desconocido,0.1,
14,password_hash,aaf4c61ddcc5e8a2dabede0f3b482cd9aea9434d,Sensibilidad media,Protegido,1.0,
14,rut,8765432-K,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
14,telefono,+56212345678,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
14,ip,localhost,No sensible,Estado desconocido,0.1,
15,email,email,No sensible,Estado desconocido,0.1,
15,password_hash,password_hash,No sensible,Estado desconocido,0.1,
15,rut,rut,No sensible,Estado desconocido,0.1,
15,telefono,telefono,No sensible,Estado desconocido,0.1,
15,ip,ip,No sensible,Estado desconocido,0.1,
16,email,juan.perez@empresa.cl,Sensibilidad alta,Sin protección,0.95,Email
16,password_hash,5d41402abc4b2a76b9719d911017c592,Sensibilidad media,Protegido,0.8,
16,rut,12.345.678-5,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
16,telefono,+56912345678,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
16,ip,192.168.1.100,Sensibilidad media,Sin protección,0.92,Dirección IP
17,email,maria.gonzalez@company.com,Sensibilidad alta,Sin protección,0.95,Email
17,password_hash,$2b$12$N9qo8uLOickgx2ZMRZoMye,Sensibilidad media,Protegido,0.95,
17,rut,11.111.111-1,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
17,telefono,+56987654321,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
17,ip,10.0.0.1,Sensibilidad media,Sin protección,0.92,Dirección IP
18,email,admin@test.com,No sensible,Estado desconocido,0.1,
18,password_hash,plaintext_password,No sensible,Estado desconocido,0.1,
18,rut,7654321-6,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
18,telefono,22123456,Sensibilidad media,Parcialmente protegido,0.95,Teléfono Chileno
18,ip,172.16.0.1,Sensibilidad media,Sin protección,0.92,Dirección IP
19,email,user@example.org,No sensible,Estado desconocido,0.1,
19,password_hash,aaf4c61ddcc5e8a2dabede0f3b482cd9aea9434d,Sensibilidad media,Protegido,1.0,
19,rut,8765432-K,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
19,telefono,+56212345678,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
19,ip,localhost,No sensible,Estado desconocido,0.1,
20,email,email,No sensible,Estado desconocido,0.1,
20,password_hash,password_hash,No sensible,Estado desconocido,0.1,
20,rut,rut,No sensible,Estado desconocido,0.1,
20,telefono,telefono,No sensible,Estado desconocido,0.1,
20,ip,ip,No sensible,Estado desconocido,0.1,
21,email,juan.perez@empresa.cl,Sensibilidad alta,Sin protección,0.95,Email
21,password_hash,5d41402abc4b2a76b9719d911017c592,Sensibilidad media,Protegido,0.8,
21,rut,12.345.678-5,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
21,telefono,+56912345678,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
21,ip,192.168.1.100,Sensibilidad media,Sin protección,0.92,Dirección IP
22,email,maria.gonzalez@company.com,Sensibilidad alta,Sin protección,0.95,Email
22,password_hash,$2b$12$N9qo8uLOickgx2ZMRZoMye,Sensibilidad media,Protegido,0.95,
22,rut,11.111.111-1,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
22,telefono,+56987654321,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
22,ip,10.0.0.1,Sensibilidad media,Sin protección,0.92,Dirección IP
23,email,admin@test.com,No sensible,Estado desconocido,0.1,
23,password_hash,plaintext_password,No sensible,Estado desconocido,0.1,
23,rut,7654321-6,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
23,telefono,22123456,Sensibilidad media,Parcialmente protegido,0.95,Teléfono Chileno
23,ip,172.16.0.1,Sensibilidad media,Sin protección,0.92,Dirección IP
24,email,user@example.org,No sensible,Estado desconocido,0.1,
24,password_hash,aaf4c61ddcc5e8a2dabede0f3b482cd9aea9434d,Sensibilidad media,Protegido,1.0,
24,rut,8765432-K,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
24,telefono,+56212345678,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
24,ip,localhost,No sensible,Estado desconocido,0.1,
25,email,email,No sensible,Estado desconocido,0.1,
25,password_hash,password_hash,No sensible,Estado desconocido,0.1,
25,rut,rut,No sensible,Estado desconocido,0.1,
25,telefono,telefono,No sensible,Estado desconocido,0.1,
25,ip,ip,No sensible,Estado desconocido,0.1,
26,email,juan.perez@empresa.cl,Sensibilidad alta,Sin protección,0.95,Email
26,password_hash,5d41402abc4b2a76b9719d911017c592,Sensibilidad media,Protegido,0.8,
26,rut,12.345.678-5,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
26,telefono,+56912345678,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
26,ip,192.168.1.100,Sensibilidad media,Sin protección,0.92,Dirección IP
27,email,maria.gonzalez@company.com,Sensibilidad alta,Sin protección,0.95,Email
27,password_hash,$2b$12$N9qo8uLOickgx2ZMRZoMye,Sensibilidad media,Protegido,0.95,
27,rut,11.111.111-1,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
27,telefono,+56987654321,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
27,ip,10.0.0.1,Sensibilidad media,Sin protección,0.92,Dirección IP
28,email,admin@test.com,No sensible,Estado desconocido,0.1,
28,password_hash,plaintext_password,No sensible,Estado desconocido,0.1,
28,rut,7654321-6,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
28,telefono,22123456,Sensibilidad media,Parcialmente protegido,0.95,Teléfono Chileno
28,ip,172.16.0.1,Sensibilidad media,Sin protección,0.92,Dirección IP
29,email,user@example.org,No sensible,Estado desconocido,0.1,
29,password_hash,aaf4c61ddcc5e8a2dabede0f3b482cd9aea9434d,Sensibilidad media,Protegido,1.0,
29,rut,8765432-K,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
29,telefono,+56212345678,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
29,ip,localhost,No sensible,Estado desconocido,0.1,
30,email,email,No sensible,Estado desconocido,0.1,
30,password_hash,password_hash,No sensible,Estado desconocido,0.1,
30,rut,rut,No sensible,Estado desconocido,0.1,
30,telefono,telefono,No sensible,Estado desconocido,0.1,
30,ip,ip,No sensible,Estado desconocido,0.1,
31,email,juan.perez@empresa.cl,Sensibilidad alta,Sin protección,0.95,Email
31,password_hash,5d41402abc4b2a76b9719d911017c592,Sensibilidad media,Protegido,0.8,
31,rut,12.345.678-5,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
31,telefono,+56912345678,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
31,ip,192.168.1.100,Sensibilidad media,Sin protección,0.92,Dirección IP
32,email,maria.gonzalez@company.com,Sensibilidad alta,Sin protección,0.95,Email
32,password_hash,$2b$12$N9qo8uLOickgx2ZMRZoMye,Sensibilidad media,Protegido,0.95,
32,rut,11.111.111-1,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
32,telefono,+56987654321,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
32,ip,10.0.0.1,Sensibilidad media,Sin protección,0.92,Dirección IP
33,email,admin@test.com,No sensible,Estado desconocido,0.1,
33,password_hash,plaintext_password,No sensible,Estado desconocido,0.1,
33,rut,7654321-6,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
33,telefono,22123456,Sensibilidad media,Parcialmente protegido,0.95,Teléfono Chileno
33,ip,172.16.0.1,Sensibilidad media,Sin protección,0.92,Dirección IP
34,email,user@example.org,No sensible,Estado desconocido,0.1,
34,password_hash,aaf4c61ddcc5e8a2dabede0f3b482cd9aea9434d,Sensibilidad media,Protegido,1.0,
34,rut,8765432-K,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
34,telefono,+56212345678,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
34,ip,localhost,No sensible,Estado desconocido,0.1,
35,email,email,No sensible,Estado desconocido,0.1,
35,password_hash,password_hash,No sensible,Estado desconocido,0.1,
35,rut,rut,No sensible,Estado desconocido,0.1,
35,telefono,telefono,No sensible,Estado desconocido,0.1,
35,ip,ip,No sensible,Estado desconocido,0.1,
36,email,juan.perez@empresa.cl,Sensibilidad alta,Sin protección,0.95,Email
36,password_hash,5d41402abc4b2a76b9719d911017c592,Sensibilidad media,Protegido,0.8,
36,rut,12.345.678-5,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
36,telefono,+56912345678,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
36,ip,192.168.1.100,Sensibilidad media,Sin protección,0.92,Dirección IP
37,email,maria.gonzalez@company.com,Sensibilidad alta,Sin protección,0.95,Email
37,password_hash,$2b$12$N9qo8uLOickgx2ZMRZoMye,Sensibilidad media,Protegido,0.95,
37,rut,11.111.111-1,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
37,telefono,+56987654321,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
37,ip,10.0.0.1,Sensibilidad media,Sin protección,0.92,Dirección IP
38,email,admin@test.com,No sensible,Estado desconocido,0.1,
38,password_hash,plaintext_password,No sensible,Estado desconocido,0.1,
38,rut,7654321-6,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
38,telefono,22123456,Sensibilidad media,Parcialmente protegido,0.95,Teléfono Chileno
38,ip,172.16.0.1,Sensibilidad media,Sin protección,0.92,Dirección IP
39,email,user@example.org,No sensible,Estado desconocido,0.1,
39,password_hash,aaf4c61ddcc5e8a2dabede0f3b482cd9aea9434d,Sensibilidad media,Protegido,1.0,
39,rut,8765432-K,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
39,telefono,+56212345678,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
39,ip,localhost,No sensible,Estado desconocido,0.1,
40,email,email,No sensible,Estado desconocido,0.1,
40,password_hash,password_hash,No sensible,Estado desconocido,0.1,
40,rut,rut,No sensible,Estado desconocido,0.1,
40,telefono,telefono,No sensible,Estado desconocido,0.1,
40,ip,ip,No sensible,Estado desconocido,0.1,
41,email,juan.perez@empresa.cl,Sensibilidad alta,Sin protección,0.95,Email
41,password_hash,5d41402abc4b2a76b9719d911017c592,Sensibilidad media,Protegido,0.8,
41,rut,12.345.678-5,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
41,telefono,+56912345678,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
41,ip,192.168.1.100,Sensibilidad media,Sin protección,0.92,Dirección IP
42,email,maria.gonzalez@company.com,Sensibilidad alta,Sin protección,0.95,Email
42,password_hash,$2b$12$N9qo8uLOickgx2ZMRZoMye,Sensibilidad media,Protegido,0.95,
42,rut,11.111.111-1,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
42,telefono,+56987654321,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
42,ip,10.0.0.1,Sensibilidad media,Sin protección,0.92,Dirección IP
43,email,admin@test.com,No sensible,Estado desconocido,0.1,
43,password_hash,plaintext_password,No sensible,Estado desconocido,0.1,
43,rut,7654321-6,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
43,telefono,22123456,Sensibilidad media,Parcialmente protegido,0.95,Teléfono Chileno
43,ip,172.16.0.1,Sensibilidad media,Sin protección,0.92,Dirección IP
44,email,user@example.org,No sensible,Estado desconocido,0.1,
44,password_hash,aaf4c61ddcc5e8a2dabede0f3b482cd9aea9434d,Sensibilidad media,Protegido,1.0,
44,rut,8765432-K,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
44,telefono,+56212345678,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
44,ip,localhost,No sensible,Estado desconocido,0.1,
45,email,email,No sensible,Estado desconocido,0.1,
45,password_hash,password_hash,No sensible,Estado desconocido,0.1,
45,rut,rut,No sensible,Estado desconocido,0.1,
45,telefono,telefono,No sensible,Estado desconocido,0.1,
45,ip,ip,No sensible,Estado desconocido,0.1,
46,email,juan.perez@empresa.cl,Sensibilidad alta,Sin protección,0.95,Email
46,password_hash,5d41402abc4b2a76b9719d911017c592,Sensibilidad media,Protegido,0.8,
46,rut,12.345.678-5,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
46,telefono,+56912345678,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
46,ip,192.168.1.100,Sensibilidad media,Sin protección,0.92,Dirección IP
47,email,maria.gonzalez@company.com,Sensibilidad alta,Sin protección,0.95,Email
47,password_hash,$2b$12$N9qo8uLOickgx2ZMRZoMye,Sensibilidad media,Protegido,0.95,
47,rut,11.111.111-1,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
47,telefono,+56987654321,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
47,ip,10.0.0.1,Sensibilidad media,Sin protección,0.92,Dirección IP
48,email,admin@test.com,No sensible,Estado desconocido,0.1,
48,password_hash,plaintext_password,No sensible,Estado desconocido,0.1,
48,rut,7654321-6,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
48,telefono,22123456,Sensibilidad media,Parcialmente protegido,0.95,Teléfono Chileno
48,ip,172.16.0.1,Sensibilidad media,Sin protección,0.92,Dirección IP
49,email,user@example.org,No sensible,Estado desconocido,0.1,
49,password_hash,aaf4c61ddcc5e8a2dabede0f3b482cd9aea9434d,Sensibilidad media,Protegido,1.0,
49,rut,8765432-K,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
49,telefono,+56212345678,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
49,ip,localhost,No sensible,Estado desconocido,0.1,
50,email,email,No sensible,Estado desconocido,0.1,
50,password_hash,password_hash,No sensible,Estado desconocido,0.1,
50,rut,rut,No sensible,Estado desconocido,0.1,
50,telefono,telefono,No sensible,Estado desconocido,0.1,
50,ip,ip,No sensible,Estado desconocido,0.1,
51,email,juan.perez@empresa.cl,Sensibilidad alta,Sin protección,0.95,Email
51,password_hash,5d41402abc4b2a76b9719d911017c592,Sensibilidad media,Protegido,0.8,
51,rut,12.345.678-5,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
51,telefono,+56912345678,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
51,ip,192.168.1.100,Sensibilidad media,Sin protección,0.92,Dirección IP
52,email,maria.gonzalez@company.com,Sensibilidad alta,Sin protección,0.95,Email
52,password_hash,$2b$12$N9qo8uLOickgx2ZMRZoMye,Sensibilidad media,Protegido,0.95,
52,rut,11.111.111-1,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
52,telefono,+56987654321,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
52,ip,10.0.0.1,Sensibilidad media,Sin protección,0.92,Dirección IP
53,email,admin@test.com,No sensible,Estado desconocido,0.1,
53,password_hash,plaintext_password,No sensible,Estado desconocido,0.1,
53,rut,7654321-6,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
53,telefono,22123456,Sensibilidad media,Parcialmente protegido,0.95,Teléfono Chileno
53,ip,172.16.0.1,Sensibilidad media,Sin protección,0.92,Dirección IP
54,email,user@example.org,No sensible,Estado desconocido,0.1,
54,password_hash,aaf4c61ddcc5e8a2dabede0f3b482cd9aea9434d,Sensibilidad media,Protegido,1.0,
54,rut,8765432-K,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
54,telefono,+56212345678,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
54,ip,localhost,No sensible,Estado desconocido,0.1,
55,email,email,No sensible,Estado desconocido,0.1,
55,password_hash,password_hash,No sensible,Estado desconocido,0.1,
55,rut,rut,No sensible,Estado desconocido,0.1,
55,telefono,telefono,No sensible,Estado desconocido,0.1,
55,ip,ip,No sensible,Estado desconocido,0.1,
56,email,juan.perez@empresa.cl,Sensibilidad alta,Sin protección,0.95,Email
56,password_hash,5d41402abc4b2a76b9719d911017c592,Sensibilidad media,Protegido,0.8,
56,rut,12.345.678-5,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
56,telefono,+56912345678,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
56,ip,192.168.1.100,Sensibilidad media,Sin protección,0.92,Dirección IP
57,email,maria.gonzalez@company.com,Sensibilidad alta,Sin protección,0.95,Email
57,password_hash,$2b$12$N9qo8uLOickgx2ZMRZoMye,Sensibilidad media,Protegido,0.95,
57,rut,11.111.111-1,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
57,telefono,+56987654321,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
57,ip,10.0.0.1,Sensibilidad media,Sin protección,0.92,Dirección IP
58,email,admin@test.com,No sensible,Estado desconocido,0.1,
58,password_hash,plaintext_password,No sensible,Estado desconocido,0.1,
58,rut,7654321-6,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
58,telefono,22123456,Sensibilidad media,Parcialmente protegido,0.95,Teléfono Chileno
58,ip,172.16.0.1,Sensibilidad media,Sin protección,0.92,Dirección IP
59,email,user@example.org,No sensible,Estado desconocido,0.1,
59,password_hash,aaf4c61ddcc5e8a2dabede0f3b482cd9aea9434d,Sensibilidad media,Protegido,1.0,
59,rut,8765432-K,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
59,telefono,+56212345678,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
59,ip,localhost,No sensible,Estado desconocido,0.1,
60,email,email,No sensible,Estado desconocido,0.1,
60,password_hash,password_hash,No sensible,Estado desconocido,0.1,
60,rut,rut,No sensible,Estado desconocido,0.1,
60,telefono,telefono,No sensible,Estado desconocido,0.1,
60,ip,ip,No sensible,Estado desconocido,0.1,
61,email,juan.perez@empresa.cl,Sensibilidad alta,Sin protección,0.95,Email
61,password_hash,5d41402abc4b2a76b9719d911017c592,Sensibilidad media,Protegido,0.8,
61,rut,12.345.678-5,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
61,telefono,+56912345678,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
61,ip,192.168.1.100,Sensibilidad media,Sin protección,0.92,Dirección IP
62,email,maria.gonzalez@company.com,Sensibilidad alta,Sin protección,0.95,Email
62,password_hash,$2b$12$N9qo8uLOickgx2ZMRZoMye,Sensibilidad media,Protegido,0.95,
62,rut,11.111.111-1,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
62,telefono,+56987654321,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
62,ip,10.0.0.1,Sensibilidad media,Sin protección,0.92,Dirección IP
63,email,admin@test.com,No sensible,Estado desconocido,0.1,
63,password_hash,plaintext_password,No sensible,Estado desconocido,0.1,
63,rut,7654321-6,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
63,telefono,22123456,Sensibilidad media,Parcialmente protegido,0.95,Teléfono Chileno
63,ip,172.16.0.1,Sensibilidad media,Sin protección,0.92,Dirección IP
64,email,user@example.org,No sensible,Estado desconocido,0.1,
64,password_hash,aaf4c61ddcc5e8a2dabede0f3b482cd9aea9434d,Sensibilidad media,Protegido,1.0,
64,rut,8765432-K,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
64,telefono,+56212345678,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
64,ip,localhost,No sensible,Estado desconocido,0.1,
65,email,email,No sensible,Estado desconocido,0.1,
65,password_hash,password_hash,No sensible,Estado desconocido,0.1,
65,rut,rut,No sensible,Estado desconocido,0.1,
65,telefono,telefono,No sensible,Estado desconocido,0.1,
65,ip,ip,No sensible,Estado desconocido,0.1,
66,email,juan.perez@empresa.cl,Sensibilidad alta,Sin protección,0.95,Email
66,password_hash,5d41402abc4b2a76b9719d911017c592,Sensibilidad media,Protegido,0.8,
66,rut,12.345.678-5,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
66,telefono,+56912345678,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
66,ip,192.168.1.100,Sensibilidad media,Sin protección,0.92,Dirección IP
67,email,maria.gonzalez@company.com,Sensibilidad alta,Sin protección,0.95,Email
67,password_hash,$2b$12$N9qo8uLOickgx2ZMRZoMye,Sensibilidad media,Protegido,0.95,
67,rut,11.111.111-1,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
67,telefono,+56987654321,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
67,ip,10.0.0.1,Sensibilidad media,Sin protección,0.92,Dirección IP
68,email,admin@test.com,No sensible,Estado desconocido,0.1,
68,password_hash,plaintext_password,No sensible,Estado desconocido,0.1,
68,rut,7654321-6,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
68,telefono,22123456,Sensibilidad media,Parcialmente protegido,0.95,Teléfono Chileno
68,ip,172.16.0.1,Sensibilidad media,Sin protección,0.92,Dirección IP
69,email,user@example.org,No sensible,Estado desconocido,0.1,
69,password_hash,aaf4c61ddcc5e8a2dabede0f3b482cd9aea9434d,Sensibilidad media,Protegido,1.0,
69,rut,8765432-K,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
69,telefono,+56212345678,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
69,ip,localhost,No sensible,Estado desconocido,0.1,
70,email,email,No sensible,Estado desconocido,0.1,
70,password_hash,password_hash,No sensible,Estado desconocido,0.1,
70,rut,rut,No sensible,Estado desconocido,0.1,
70,telefono,telefono,No sensible,Estado desconocido,0.1,
70,ip,ip,No sensible,Estado desconocido,0.1,
71,email,juan.perez@empresa.cl,Sensibilidad alta,Sin protección,0.95,Email
71,password_hash,5d41402abc4b2a76b9719d911017c592,Sensibilidad media,Protegido,0.8,
71,rut,12.345.678-5,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
71,telefono,+56912345678,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
71,ip,192.168.1.100,Sensibilidad media,Sin protección,0.92,Dirección IP
72,email,maria.gonzalez@company.com,Sensibilidad alta,Sin protección,0.95,Email
72,password_hash,$2b$12$N9qo8uLOickgx2ZMRZoMye,Sensibilidad media,Protegido,0.95,
72,rut,11.111.111-1,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
72,telefono,+56987654321,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
72,ip,10.0.0.1,Sensibilidad media,Sin protección,0.92,Dirección IP
73,email,admin@test.com,No sensible,Estado desconocido,0.1,
73,password_hash,plaintext_password,No sensible,Estado desconocido,0.1,
73,rut,7654321-6,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
73,telefono,22123456,Sensibilidad media,Parcialmente protegido,0.95,Teléfono Chileno
73,ip,172.16.0.1,Sensibilidad media,Sin protección,0.92,Dirección IP
74,email,user@example.org,No sensible,Estado desconocido,0.1,
74,password_hash,aaf4c61ddcc5e8a2dabede0f3b482cd9aea9434d,Sensibilidad media,Protegido,1.0,
74,rut,8765432-K,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
74,telefono,+56212345678,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
74,ip,localhost,No sensible,Estado desconocido,0.1,
75,email,email,No sensible,Estado desconocido,0.1,
75,password_hash,password_hash,No sensible,Estado desconocido,0.1,
